Age,,Height (cm),Weight (kg),,Workout Duration (mins),,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%)
20,,171,63,,47,,142,10885,1.13,Low,7.2,1.9,2016,84,38.4,28.5
55,,159,55,,55,,114,8489,3.44,High,4,1.9,3516,68,38.4,28.5
52,,187,117,,40,,156,11306,6.62,High,9.5,1.9,1900,79,38.4,28.5
59,,176,67,,16,,161,4958,12.41,High,9.7,1.9,1937,73,38.4,28.5
23,,160,57,,96,,148,10123,7.66,Low,7.5,1.9,2490,76,38.4,28.5
37,,170,107,,54,,115,13413,7.81,Medium,7.5,1.9,2140,76,38.4,28.5
45,,189,55,,116,,92,9949,13.74,High,4.4,1.9,3560,83,38.4,28.5
41,,188,62,,25,,144,5633,14.29,Medium,7.4,1.9,2877,74,38.4,28.5
56,,150,108,,52,,178,4539,4.39,Medium,9.9,1.9,3091,57,38.4,28.5
44,,167,87,,20,,145,13866,14.92,High,9,1.9,2905,57,38.4,28.5
30,,171,75,,113,,169,6590,3.54,Medium,7,1.9,2912,82,38.4,28.5
57,,171,75,,102,,108,12207,4.85,Low,6.1,1.9,3367,70,38.4,28.5
51,,195,106,,14,,98,1542,7.17,Low,4.8,1.9,1804,76,38.4,28.5
45,,168,83,,52,,161,10805,2.28,High,8.7,1.9,2363,80,38.4,28.5
58,,156,59,,47,,179,5264,5.23,High,9,1.9,1756,61,38.4,28.5
59,,195,79,,77,,120,3385,14.29,Medium,9.4,1.9,1711,81,38.4,28.5
36,,167,95,,68,,110,13485,11.31,Low,6.1,1.9,2570,57,38.4,28.5
40,,181,83,,72,,160,2337,12.6,Medium,6.3,1.9,2270,61,38.4,28.5
34,,156,57,,36,,95,5074,0.57,Low,9.7,1.9,1763,89,38.4,28.5
52,,198,111,,82,,90,5978,14.44,Medium,5.1,1.9,3708,60,38.4,28.5
31,,168,52,,91,,153,14169,4.34,Low,6,1.9,2535,59,38.4,28.5
24,,187,89,,82,,163,19717,9.69,Low,5.9,1.9,2419,53,38.4,28.5
40,,192,60,,28,,84,8764,6.04,High,8.1,1.9,3402,76,38.4,28.5
59,,180,52,,26,,134,4452,4.83,Medium,4.4,1.9,1708,73,38.4,28.5
44,,185,90,,12,,126,11159,8.19,High,9.2,1.9,3398,56,38.4,28.5
57,,157,118,,50,,156,11236,9.87,High,4.3,1.9,2766,64,38.4,28.5
43,,161,113,,108,,111,19882,11.43,High,6.8,1.9,1541,56,38.4,28.5
20,,174,56,,101,,134,1529,8.97,High,4.4,1.9,1631,89,38.4,28.5
50,,176,69,,13,,179,19847,14.57,High,6.2,1.9,2113,58,38.4,28.5
40,,155,97,,51,,84,9492,4.78,Low,9.7,1.9,3327,61,38.4,28.5
57,,156,79,,53,,134,12672,11.09,High,8.3,1.9,1533,66,38.4,28.5
52,,170,85,,70,,177,14243,5.43,Low,7.6,1.9,1520,79,38.4,28.5
25,,171,57,,111,,80,9634,14.96,Medium,4,1.9,2276,71,38.4,28.5
29,,177,84,,73,,146,6079,14.2,High,6.5,1.9,3045,80,38.4,28.5
41,,194,101,,46,,154,6457,7.04,High,6.1,1.9,3149,60,38.4,28.5
21,,169,62,,35,,153,4207,7.78,Medium,4.1,1.9,2222,78,38.4,28.5
45,,172,65,,20,,155,19805,9.64,Low,8.1,1.9,2685,54,38.4,28.5
40,,199,91,,22,,125,2503,13.15,Low,6.6,1.9,3526,62,38.4,28.5
57,,155,60,,105,,129,17887,1.67,Low,5.7,1.9,2038,55,38.4,28.5
22,,159,63,,111,,160,18212,5.51,Low,8.9,1.9,1555,52,38.4,28.5
31,,195,53,,52,,147,16641,4.13,Medium,4.6,1.9,3238,51,38.4,28.5
29,,167,65,,88,,178,3302,3.57,High,4.7,1.9,3935,86,38.4,28.5
38,,191,79,,41,,138,11425,2.21,High,6.8,1.9,2140,68,38.4,28.5
46,,151,81,,89,,177,14962,9.2,High,9.8,1.9,3023,74,38.4,28.5
56,,190,89,,41,,121,17825,2.37,Low,7.4,1.9,2568,52,38.4,28.5
26,,189,103,,111,,151,5713,10.08,High,5.1,1.9,2977,78,38.4,28.5
57,,177,69,,24,,111,14443,3.56,Medium,9.6,1.9,2246,70,38.4,28.5
44,,175,115,,66,,131,3136,13.48,High,4.2,1.9,3493,79,38.4,28.5
36,,165,53,,25,,172,11907,12.73,High,4.9,1.9,1959,87,38.4,28.5
33,,181,89,,78,,134,12848,12.14,Low,7.4,1.9,1536,62,38.4,28.5
27,,197,73,,88,,132,15019,5.27,Medium,9,1.9,2462,88,38.4,28.5
57,,197,63,,76,,102,1335,5.83,High,6.1,1.9,2508,50,38.4,28.5
23,,166,89,,16,,146,15052,6.44,High,8.2,1.9,3055,79,38.4,28.5
53,,170,64,,46,,133,2042,11.83,Medium,5.4,1.9,1728,78,38.4,28.5
44,,168,115,,49,,131,8758,10.1,Low,6.8,1.9,3709,55,38.4,28.5
59,,174,76,,53,,87,12302,4.77,Medium,9.9,1.9,3748,53,38.4,28.5
21,,151,98,,79,,115,9662,5.56,Low,4.2,1.9,3417,89,38.4,28.5
57,,161,90,,106,,86,14591,7.87,High,4.6,1.9,3710,54,38.4,28.5
20,,165,54,,32,,123,3140,0.66,High,8.4,1.9,3793,75,38.4,28.5
29,,150,85,,27,,98,16341,13.06,Low,8.2,1.9,3091,80,38.4,28.5
34,,152,93,,71,,139,2704,3.8,High,8.9,1.9,2247,61,38.4,28.5
25,,152,112,,11,,159,2245,7.92,Medium,4.9,1.9,3320,60,38.4,28.5
41,,161,56,,98,,137,4523,10.31,Medium,4.2,1.9,2691,58,38.4,28.5
39,,162,56,,97,,120,12131,8.73,High,6,1.9,3533,76,38.4,28.5
32,,185,56,,54,,121,4951,14.53,Low,6.1,1.9,1659,53,38.4,28.5
36,,179,119,,56,,111,4755,9.69,Low,4.2,1.9,2195,71,38.4,28.5
29,,161,86,,98,,171,1667,8.45,Low,4,1.9,2918,78,38.4,28.5
53,,194,115,,85,,106,14513,9.54,Low,7.1,1.9,2323,79,38.4,28.5
51,,184,106,,75,,133,12678,10.96,Medium,7.9,1.9,1927,85,38.4,28.5
25,,167,78,,112,,135,6275,1.13,Low,7,1.9,2288,55,38.4,28.5
25,,187,115,,97,,171,8606,0.79,Low,4.5,1.9,2501,60,38.4,28.5
54,,175,85,,57,,140,2731,10.71,Low,5.1,1.9,1773,82,38.4,28.5
42,,151,112,,39,,147,18690,14.02,Medium,7.1,1.9,3258,83,38.4,28.5
57,,194,91,,68,,141,17284,7.66,High,4.9,1.9,1957,81,38.4,28.5
24,,178,77,,18,,179,11160,9.21,Low,8.4,1.9,3528,59,38.4,28.5
26,,180,68,,49,,155,16725,4.38,Medium,4.9,1.9,1659,63,38.4,28.5
18,,155,77,,59,,150,1582,8.44,Medium,6.7,1.9,1743,72,38.4,28.5
40,,176,95,,76,,137,15689,12.53,Medium,5.9,1.9,3372,63,38.4,28.5
44,,194,82,,66,,104,11533,1.06,Medium,7.3,1.9,3041,71,38.4,28.5
19,,154,101,,107,,143,11484,11.49,Medium,8.7,1.9,2535,85,38.4,28.5
55,,190,100,,72,,169,8791,1.18,Low,7.8,1.9,3633,67,38.4,28.5
55,,183,72,,26,,82,3932,10.82,Low,5.5,1.9,2784,77,38.4,28.5
37,,171,97,,12,,178,6773,8.26,Medium,6.3,1.9,2066,61,38.4,28.5
49,,181,57,,108,,88,19970,14.99,Medium,5.4,1.9,3925,85,38.4,28.5
37,,154,96,,57,,96,11231,8.64,High,7.6,1.9,2810,68,38.4,28.5
58,,182,76,,71,,147,3527,13.84,High,8.3,1.9,2918,62,38.4,28.5
54,,161,86,,11,,168,2027,2.67,Low,4.7,1.9,2613,65,38.4,28.5
34,,174,68,,94,,167,15550,4.48,Low,5.7,1.9,2780,53,38.4,28.5
23,,187,93,,85,,82,10688,14.51,High,6.8,1.9,2377,66,38.4,28.5
52,,193,90,,43,,119,6260,2.82,Low,7.7,1.9,3499,62,38.4,28.5
41,,196,94,,117,,153,5435,3.7,High,7,1.9,2740,87,38.4,28.5
41,,180,104,,91,,87,11779,10.68,High,4.4,1.9,1960,55,38.4,28.5
51,,185,68,,74,,158,1660,6.66,Medium,4.3,1.9,1787,89,38.4,28.5
34,,191,61,,73,,166,1774,10.81,Medium,9.4,1.9,3914,53,38.4,28.5
23,,155,95,,28,,139,1101,5.16,High,8,1.9,1714,52,38.4,28.5
55,,163,103,,74,,89,8341,9.08,Low,7,1.9,1919,85,38.4,28.5
43,,198,97,,14,,112,10671,12.8,High,7.1,1.9,2635,54,38.4,28.5
25,,158,97,,104,,87,11900,8.1,Medium,5.2,1.9,2629,50,38.4,28.5
25,,191,114,,18,,155,3287,8.04,High,6.2,1.9,2666,75,38.4,28.5
49,,199,52,,23,,139,3637,7.37,High,8.7,1.9,2511,69,38.4,28.5
43,,193,84,,92,,160,16890,5.17,Low,4.3,1.9,3527,71,38.4,28.5
54,,178,79,,12,,179,11720,1.79,Medium,4.8,1.9,3759,76,38.4,28.5
58,,185,78,,91,,144,9441,6.04,Medium,5.8,1.9,2829,85,38.4,28.5
57,,164,104,,41,,134,19339,13.72,High,6.6,1.9,2151,61,38.4,28.5
38,,167,86,,84,,105,1184,5.31,Low,5.7,1.9,2154,74,38.4,28.5
21,,176,111,,56,,93,13516,6.92,High,4.5,1.9,2744,59,38.4,28.5
23,,187,87,,17,,107,12789,5.15,Low,8.8,1.9,2837,54,38.4,28.5
51,,160,91,,81,,99,1051,7.05,Low,5.7,1.9,3323,56,38.4,28.5
24,,170,99,,73,,167,1705,8.29,High,5.8,1.9,1740,68,38.4,28.5
19,,174,84,,57,,123,5723,2.57,Low,8.7,1.9,3302,50,38.4,28.5
56,,191,64,,118,,158,12358,14.64,Medium,6.9,1.9,2096,76,38.4,28.5
28,,181,64,,69,,117,10521,9.17,High,6.6,1.9,3095,57,38.4,28.5
33,,170,59,,32,,100,1705,8.16,Medium,6.8,1.9,3318,53,38.4,28.5
55,,178,75,,82,,174,19462,3.12,Medium,6.6,1.9,1959,59,38.4,28.5
59,,194,101,,113,,160,1264,13.86,High,6.5,1.9,3162,57,38.4,28.5
41,,171,99,,106,,128,5070,8.64,Medium,6.7,1.9,3463,86,38.4,28.5
32,,160,91,,43,,169,19687,12.63,Low,6,1.9,2342,63,38.4,28.5
53,,172,55,,16,,130,4759,12.75,High,6.5,1.9,3002,75,38.4,28.5
37,,156,110,,119,,141,6102,5.63,Medium,6.2,1.9,3385,89,38.4,28.5
40,,153,91,,50,,105,5888,6.36,High,4.8,1.9,3339,58,38.4,28.5
40,,155,98,,12,,96,19044,8.92,High,8.5,1.9,3906,64,38.4,28.5
30,,155,93,,48,,146,17808,5.91,Medium,6.7,1.9,3520,84,38.4,28.5
18,,183,95,,58,,161,1109,3.71,High,8.5,1.9,3279,56,38.4,28.5
38,,166,85,,44,,153,19181,6.71,Medium,7.8,1.9,3337,51,38.4,28.5
51,,160,115,,107,,142,7476,3.55,Low,5.3,1.9,3252,60,38.4,28.5
27,,177,68,,20,,103,1740,9.21,High,4.3,1.9,3479,80,38.4,28.5
51,,167,74,,12,,147,15460,5.02,Medium,8.3,1.9,1562,84,38.4,28.5
40,,162,80,,68,,100,15133,7.53,High,5.2,1.9,1734,69,38.4,28.5
22,,157,67,,89,,106,10953,3.29,Medium,8.3,1.9,3045,69,38.4,28.5
43,,160,54,,81,,102,7625,8.22,Medium,8,1.9,3390,60,38.4,28.5
56,,185,97,,86,,86,7734,1.27,Medium,4.8,1.9,1985,62,38.4,28.5
55,,192,115,,75,,113,8251,1.79,Medium,7,1.9,3718,71,38.4,28.5
34,,173,119,,46,,160,17671,13.76,High,6.2,1.9,2148,59,38.4,28.5
40,,181,91,,85,,117,8322,8.35,High,6,1.9,2861,82,38.4,28.5
37,,190,107,,33,,110,17136,7.99,High,6.6,1.9,1502,78,38.4,28.5
41,,182,82,,13,,144,4032,5.05,High,5.6,1.9,1758,75,38.4,28.5
19,,192,68,,78,,103,2569,8.54,Medium,4.1,1.9,3415,69,38.4,28.5
47,,156,113,,109,,142,6079,8.48,High,9,1.9,1992,57,38.4,28.5
27,,157,70,,70,,90,15883,7.22,Medium,6.5,1.9,3401,69,38.4,28.5
38,,179,81,,47,,172,1920,1.07,Medium,8.6,1.9,1906,57,38.4,28.5
32,,178,53,,86,,109,6315,11.23,High,4.8,1.9,3390,55,38.4,28.5
53,,166,104,,88,,130,4817,3.92,Medium,4.6,1.9,3779,75,38.4,28.5
36,,170,84,,73,,138,10317,5.69,High,9.6,1.9,3656,58,38.4,28.5
40,,152,99,,39,,123,3509,9.77,Medium,7.2,1.9,3606,54,38.4,28.5
56,,164,50,,104,,116,9176,0.82,Medium,5,1.9,2193,74,38.4,28.5
28,,176,71,,85,,110,15378,1.57,High,4.6,1.9,3233,60,38.4,28.5
41,,153,72,,75,,98,2379,7.43,High,5.3,1.9,1937,89,38.4,28.5
23,,191,53,,34,,122,17743,4.38,Medium,6.2,1.9,2125,72,38.4,28.5
46,,155,63,,119,,131,19708,11.09,Low,6.3,1.9,1773,59,38.4,28.5
27,,196,70,,85,,88,6225,10.28,Low,8.1,1.9,3215,84,38.4,28.5
58,,182,56,,87,,115,9616,2.02,Medium,7.1,1.9,2097,77,38.4,28.5
38,,159,108,,78,,158,4269,11.64,Medium,4.2,1.9,3259,65,38.4,28.5
45,,177,102,,64,,151,16619,2.62,High,6.2,1.9,1846,71,38.4,28.5
23,,157,93,,52,,146,2091,2.85,High,7.4,1.9,1898,88,38.4,28.5
34,,165,74,,77,,97,4331,9.89,Medium,4.2,1.9,2237,72,38.4,28.5
32,,173,52,,78,,93,12354,13.83,Low,8.6,1.9,1790,75,38.4,28.5
58,,173,97,,113,,118,14779,11.72,Medium,7.2,1.9,2973,70,38.4,28.5
29,,160,52,,97,,137,17870,7.32,Low,9.1,1.9,3106,51,38.4,28.5
43,,196,116,,111,,174,15165,1.27,Medium,6.2,1.9,3716,58,38.4,28.5
44,,155,64,,19,,164,19001,1.12,Low,5.8,1.9,2087,52,38.4,28.5
26,,167,94,,102,,134,17765,8.25,Low,4,1.9,2022,58,38.4,28.5
56,,184,119,,16,,151,13896,11.2,Medium,5.7,1.9,3130,51,38.4,28.5
38,,152,109,,65,,90,9934,6.77,High,7.4,1.9,3890,78,38.4,28.5
46,,170,102,,118,,157,19297,13.19,Medium,5.8,1.9,1750,64,38.4,28.5
28,,154,97,,53,,171,19488,2.19,Low,4.5,1.9,3099,61,38.4,28.5
23,,152,52,,40,,163,16692,1.71,High,4.9,1.9,3705,76,38.4,28.5
18,,194,50,,15,,116,6507,11.15,Low,6.4,1.9,1633,53,38.4,28.5
32,,181,74,,18,,124,11330,13.87,Low,5.1,1.9,3188,60,38.4,28.5
19,,159,64,,29,,92,6510,3.61,Low,4.7,1.9,2234,86,38.4,28.5
43,,151,76,,92,,167,3591,13.06,Low,4.6,1.9,2143,62,38.4,28.5
20,,174,116,,40,,149,8435,12.78,High,6,1.9,2652,52,38.4,28.5
22,,167,58,,109,,92,6140,10.64,Medium,5.9,1.9,2921,54,38.4,28.5
21,,183,106,,23,,170,19965,14.24,High,6.8,1.9,1878,59,38.4,28.5
28,,189,72,,54,,176,1198,13.77,High,8.4,1.9,3410,80,38.4,28.5
40,,163,119,,78,,164,4293,7.69,Low,7.7,1.9,3036,85,38.4,28.5
31,,154,64,,111,,133,5667,1.35,Low,6.8,1.9,2372,55,38.4,28.5
40,,165,66,,60,,113,17674,1.32,Low,4.1,1.9,2997,80,38.4,28.5
46,,175,50,,102,,80,10492,2.66,Low,8,1.9,1920,68,38.4,28.5
49,,162,115,,100,,120,10241,5.15,Medium,8.5,1.9,3311,87,38.4,28.5
21,,190,101,,34,,177,5212,13.38,High,6.2,1.9,3215,78,38.4,28.5
19,,152,71,,34,,134,2900,13.04,Low,4.9,1.9,2893,63,38.4,28.5
